Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,Sales ('000),COGS,Profit,Profit ('000),Date,Month,Quarter,Year,Customer_Name,Product_Name,Country
Small Business,CUST_ID_020,PROD_ID_005,Low,  214.00 ,  3.00 ,  300.00 ,"  64,200.00 ",1284,"  62,916.00 ",  62.92 ,"  53,500.00 ","  9,416.00 ",  9.42 ,8/30/2021,Aug,Q3,2021,Abigail Robinson,Carretera,France
Government,CUST_ID_021,PROD_ID_005,Low,"  2,145.00 ",  3.00 ,  7.00 ,"  15,015.00 ",300.3,"  14,714.70 ",  14.71 ,"  10,725.00 ","  3,989.70 ",  3.99 ,10/15/2021,Oct,Q4,2021,Aiden Lewis,Carretera,Germany
Enterprise,CUST_ID_022,PROD_ID_001,Low,"  1,660.00 ",  5.00 ,  125.00 ,"  207,500.00 ",4150,"  203,350.00 ",  203.35 ,"  199,200.00 ","  4,150.00 ",  4.15 ,10/30/2022,Oct,Q4,2021,Emily Clark,Montana,Italy
Enterprise,CUST_ID_023,PROD_ID_002,Low,  809.00 ,  10.00 ,  125.00 ,"  101,125.00 ",2022.5,"  99,102.50 ",  99.10 ,"  97,080.00 ","  2,022.50 ",  2.02 ,12/10/2021,Dec,Q4,2021,Sebastian Lee,Paseo,India
Enterprise,CUST_ID_024,PROD_ID_002,Low,"  2,145.00 ",  10.00 ,  125.00 ,"  268,125.00 ",5362.5,"  262,762.50 ",  262.76 ,"  257,400.00 ","  5,362.50 ",  5.36 ,5/23/2021,May,Q2,2021,Elizabeth Green,Paseo,Japan
Channel Partners,CUST_ID_025,PROD_ID_002,Low,"  1,785.00 ",  10.00 ,  12.00 ,"  21,420.00 ",428.4,"  20,991.60 ",  20.99 ,"  5,355.00 ","  15,636.60 ",  15.64 ,2/18/2021,Feb,Q1,2021,Alexander Perez,Paseo,USA
Midmarket,CUST_ID_026,PROD_ID_002,Low,"  1,925.00 ",  10.00 ,  15.00 ,"  28,875.00 ",577.5,"  28,297.50 ",  28.30 ,"  19,250.00 ","  9,047.50 ",  9.05 ,1/28/2021,Jan,Q1,2021,Avery Turner,Paseo,Canada
Government,CUST_ID_027,PROD_ID_002,Low,"  2,013.00 ",  10.00 ,  7.00 ,"  14,091.00 ",281.82,"  13,809.18 ",  13.81 ,"  10,065.00 ","  3,744.18 ",  3.74 ,12/21/2022,Dec,Q4,2021,Michael Hill,Paseo,England
Government,CUST_ID_028,PROD_ID_003,Low,"  2,966.00 ",  120.00 ,  350.00 ,"  1,038,100.00 ",20762,"  1,017,338.00 ","  1,017.34 ","  771,160.00 ","  246,178.00 ",  246.18 ,1/13/2022,Jan,Q1,2021,Sofia Phillips,Velo,France
Enterprise,CUST_ID_029,PROD_ID_003,Low,  809.00 ,  120.00 ,  125.00 ,"  101,125.00 ",2022.5,"  99,102.50 ",  99.10 ,"  97,080.00 ","  2,022.50 ",  2.02 ,11/8/2022,Nov,Q4,2021,Elijah Martin,Velo,Germany
Enterprise,CUST_ID_030,PROD_ID_003,Low,"  2,145.00 ",  120.00 ,  125.00 ,"  268,125.00 ",5362.5,"  262,762.50 ",  262.76 ,"  257,400.00 ","  5,362.50 ",  5.36 ,1/19/2021,Jan,Q1,2021,Sophia Turner,Velo,Italy
Government,CUST_ID_031,PROD_ID_003,Low,  544.00 ,  120.00 ,  20.00 ,"  10,880.00 ",217.6,"  10,662.40 ",  10.66 ,"  5,440.00 ","  5,222.40 ",  5.22 ,7/30/2021,Jul,Q3,2021,Benjamin Lee,Velo,India
Small Business,CUST_ID_032,PROD_ID_004,Low,  214.00 ,  250.00 ,  300.00 ,"  64,200.00 ",1284,"  62,916.00 ",  62.92 ,"  53,500.00 ","  9,416.00 ",  9.42 ,2/21/2021,Feb,Q1,2021,Mia White,VTT,Japan
Government,CUST_ID_033,PROD_ID_004,Low,  266.00 ,  250.00 ,  350.00 ,"  93,100.00 ",1862,"  91,238.00 ",  91.24 ,"  69,160.00 ","  22,078.00 ",  22.08 ,1/28/2022,Jan,Q1,2021,Logan Garcia,VTT,USA
Government,CUST_ID_034,PROD_ID_004,Low,"  1,940.00 ",  250.00 ,  350.00 ,"  679,000.00 ",13580,"  665,420.00 ",  665.42 ,"  504,400.00 ","  161,020.00 ",  161.02 ,1/12/2022,Jan,Q1,2021,Charlotte Davis,VTT,Canada
Government,CUST_ID_035,PROD_ID_006,Low,"  2,966.00 ",  260.00 ,  350.00 ,"  1,038,100.00 ",20762,"  1,017,338.00 ","  1,017.34 ","  771,160.00 ","  246,178.00 ",  246.18 ,7/1/2022,Jul,Q3,2021,Samuel Johnson,Amarilla,England
Channel Partners,CUST_ID_036,PROD_ID_005,Low,  908.00 ,  3.00 ,  12.00 ,"  10,896.00 ",326.88,"  10,569.12 ",  10.57 ,"  2,724.00 ","  7,845.12 ",  7.85 ,12/11/2022,Dec,Q4,2021,Harper Anderson,Carretera,France
Government,CUST_ID_037,PROD_ID_001,Low,"  1,797.00 ",  5.00 ,  350.00 ,"  628,950.00 ",18868.5,"  610,081.50 ",  610.08 ,"  467,220.00 ","  142,861.50 ",  142.86 ,5/16/2021,May,Q2,2021,Henry Martinez,Montana,Germany
Midmarket,CUST_ID_038,PROD_ID_002,Low,"  1,945.00 ",  10.00 ,  15.00 ,"  29,175.00 ",875.25,"  28,299.75 ",  28.30 ,"  19,450.00 ","  8,849.75 ",  8.85 ,5/2/2022,May,Q2,2021,Amelia Wilson,Paseo,Italy
Midmarket,CUST_ID_039,PROD_ID_004,Low,"  1,945.00 ",  250.00 ,  15.00 ,"  29,175.00 ",875.25,"  28,299.75 ",  28.30 ,"  19,450.00 ","  8,849.75 ",  8.85 ,4/2/2022,Apr,Q2,2021,Jackson Turner,VTT,India
Government,CUST_ID_040,PROD_ID_002,Low,"  1,760.00 ",  10.00 ,  7.00 ,"  12,320.00 ",369.6,"  11,950.40 ",  11.95 ,"  8,800.00 ","  3,150.40 ",  3.15 ,11/3/2021,Nov,Q4,2021,Abigail Lewis,Paseo,Japan
Midmarket,CUST_ID_002,PROD_ID_002,Low,"  2,261.00 ",  10.00 ,  15.00 ,"  33,915.00 ",1356.6,"  32,558.40 ",  32.56 ,"  22,610.00 ","  9,948.40 ",  9.95 ,4/10/2022,Apr,Q2,2021,Emma Johnson,Paseo,Canada
Government,CUST_ID_041,PROD_ID_003,Low,  736.00 ,  120.00 ,  20.00 ,"  14,720.00 ",588.8,"  14,131.20 ",  14.13 ,"  7,360.00 ","  6,771.20 ",  6.77 ,7/12/2022,Jul,Q3,2021,Aiden Clark,Velo,USA
Government,CUST_ID_042,PROD_ID_005,Low,"  2,851.00 ",  3.00 ,  7.00 ,"  19,957.00 ",798.28,"  19,158.72 ",  19.16 ,"  14,255.00 ","  4,903.72 ",  4.90 ,12/20/2022,Dec,Q4,2021,Emily Garcia,Carretera,Canada
Government,CUST_ID_043,PROD_ID_001,Low,"  2,851.00 ",  5.00 ,  7.00 ,"  19,957.00 ",798.28,"  19,158.72 ",  19.16 ,"  14,255.00 ","  4,903.72 ",  4.90 ,7/14/2021,Jul,Q3,2021,Sebastian Phillips,Montana,England
Midmarket,CUST_ID_026,PROD_ID_002,Low,  671.00 ,  10.00 ,  15.00 ,"  10,065.00 ",402.6,"  9,662.40 ",  9.66 ,"  6,710.00 ","  2,952.40 ",  2.95 ,1/15/2021,Jan,Q1,2021,Avery Turner,Paseo,Canada
Midmarket,CUST_ID_044,PROD_ID_002,Low,"  1,514.00 ",  10.00 ,  15.00 ,"  22,710.00 ",908.4,"  21,801.60 ",  21.80 ,"  15,140.00 ","  6,661.60 ",  6.66 ,3/22/2022,Mar,Q1,2021,Elizabeth Martin,Paseo,France
Government,CUST_ID_016,PROD_ID_003,Low,"  2,646.00 ",  120.00 ,  20.00 ,"  52,920.00 ",2116.8,"  50,803.20 ",  50.80 ,"  26,460.00 ","  24,343.20 ",  24.34 ,6/5/2022,Jun,Q2,2021,Harper Davis,Velo,Japan
Government,CUST_ID_033,PROD_ID_004,Low,  349.00 ,  250.00 ,  350.00 ,"  122,150.00 ",4886,"  117,264.00 ",  117.26 ,"  90,740.00 ","  26,524.00 ",  26.52 ,2/16/2021,Feb,Q1,2021,Logan Garcia,VTT,USA
Midmarket,CUST_ID_045,PROD_ID_004,Low,"  1,514.00 ",  250.00 ,  15.00 ,"  22,710.00 ",908.4,"  21,801.60 ",  21.80 ,"  15,140.00 ","  6,661.60 ",  6.66 ,9/15/2021,Sep,Q3,2021,Alexander Hill,VTT,Germany
Midmarket,CUST_ID_046,PROD_ID_006,Low,  671.00 ,  260.00 ,  15.00 ,"  10,065.00 ",402.6,"  9,662.40 ",  9.66 ,"  6,710.00 ","  2,952.40 ",  2.95 ,10/19/2022,Oct,Q4,2021,Avery Anderson,Amarilla,Italy
Government,CUST_ID_047,PROD_ID_006,Low,"  1,778.00 ",  260.00 ,  350.00 ,"  622,300.00 ",24892,"  597,408.00 ",  597.41 ,"  462,280.00 ","  135,128.00 ",  135.13 ,12/31/2021,Dec,Q4,2021,Michael Wilson,Amarilla,India
Government,CUST_ID_037,PROD_ID_001,Medium,"  1,159.00 ",  5.00 ,  7.00 ,"  8,113.00 ",405.65,"  7,707.35 ",  7.71 ,"  5,795.00 ","  1,912.35 ",  1.91 ,8/17/2022,Aug,Q3,2021,Henry Martinez,Montana,Germany
Government,CUST_ID_004,PROD_ID_002,Medium,"  2,349.00 ",  10.00 ,  7.00 ,"  16,443.00 ",822.15,"  15,620.85 ",  15.62 ,"  11,745.00 ","  3,875.85 ",  3.88 ,9/28/2022,Sep,Q3,2021,Olivia Brown,Paseo,France
Government,CUST_ID_035,PROD_ID_006,Medium,"  1,159.00 ",  260.00 ,  7.00 ,"  8,113.00 ",405.65,"  7,707.35 ",  7.71 ,"  5,795.00 ","  1,912.35 ",  1.91 ,3/28/2021,Mar,Q1,2021,Samuel Johnson,Amarilla,England
Government,CUST_ID_048,PROD_ID_005,Medium,"  1,016.00 ",  3.00 ,  7.00 ,"  7,112.00 ",355.6,"  6,756.40 ",  6.76 ,"  5,080.00 ","  1,676.40 ",  1.68 ,5/24/2022,May,Q2,2021,Sofia Turner,Carretera,Japan
Government,CUST_ID_049,PROD_ID_001,Medium,  720.00 ,  5.00 ,  350.00 ,"  252,000.00 ",12600,"  239,400.00 ",  239.40 ,"  187,200.00 ","  52,200.00 ",  52.20 ,4/8/2021,Apr,Q2,2021,Elijah Perez,Montana,USA
Small Business,CUST_ID_050,PROD_ID_001,Medium,"  1,100.00 ",  5.00 ,  300.00 ,"  330,000.00 ",16500,"  313,500.00 ",  313.50 ,"  275,000.00 ","  38,500.00 ",  38.50 ,1/20/2021,Jan,Q1,2021,Mia Hill,Montana,Canada
Government,CUST_ID_004,PROD_ID_002,Medium,"  1,228.00 ",  10.00 ,  350.00 ,"  429,800.00 ",21490,"  408,310.00 ",  408.31 ,"  319,280.00 ","  89,030.00 ",  89.03 ,1/9/2021,Jan,Q1,2021,Olivia Brown,Paseo,France
Government,CUST_ID_004,PROD_ID_002,Medium,"  1,389.00 ",  10.00 ,  20.00 ,"  27,780.00 ",1389,"  26,391.00 ",  26.39 ,"  13,890.00 ","  12,501.00 ",  12.50 ,12/16/2021,Dec,Q4,2021,Olivia Brown,Paseo,France
Enterprise,CUST_ID_051,PROD_ID_002,Medium,  704.00 ,  10.00 ,  125.00 ,"  88,000.00 ",4400,"  83,600.00 ",  83.60 ,"  84,480.00 ",  -880.00 ,  -0.88 ,7/25/2021,Jul,Q3,2021,Logan Phillips,Paseo,England
Government,CUST_ID_004,PROD_ID_002,Medium,"  1,802.00 ",  10.00 ,  20.00 ,"  36,040.00 ",1802,"  34,238.00 ",  34.24 ,"  18,020.00 ","  16,218.00 ",  16.22 ,9/30/2021,Sep,Q3,2021,Olivia Brown,Paseo,France
Government,CUST_ID_052,PROD_ID_002,Medium,"  2,136.00 ",  10.00 ,  7.00 ,"  14,952.00 ",747.6,"  14,204.40 ",  14.20 ,"  10,680.00 ","  3,524.40 ",  3.52 ,7/22/2021,Jul,Q3,2021,Charlotte Martin,Paseo,France
Midmarket,CUST_ID_038,PROD_ID_002,Medium,"  2,116.00 ",  10.00 ,  15.00 ,"  31,740.00 ",1587,"  30,153.00 ",  30.15 ,"  21,160.00 ","  8,993.00 ",  8.99 ,3/16/2022,Mar,Q1,2021,Amelia Wilson,Paseo,Italy
Enterprise,CUST_ID_053,PROD_ID_003,Medium,  704.00 ,  120.00 ,  125.00 ,"  88,000.00 ",4400,"  83,600.00 ",  83.60 ,"  84,480.00 ",  -880.00 ,  -0.88 ,4/25/2021,Apr,Q2,2021,Samuel Hill,Velo,Germany
Government,CUST_ID_054,PROD_ID_003,Medium,"  1,033.00 ",  120.00 ,  20.00 ,"  20,660.00 ",1033,"  19,627.00 ",  19.63 ,"  10,330.00 ","  9,297.00 ",  9.30 ,10/28/2022,Oct,Q4,2021,Harper Wilson,Velo,Italy
Government,CUST_ID_055,PROD_ID_004,Medium,"  1,389.00 ",  250.00 ,  20.00 ,"  27,780.00 ",1389,"  26,391.00 ",  26.39 ,"  13,890.00 ","  12,501.00 ",  12.50 ,9/7/2021,Sep,Q3,2021,Henry Turner,VTT,India
Government,CUST_ID_033,PROD_ID_004,Medium,"  1,265.00 ",  250.00 ,  20.00 ,"  25,300.00 ",1265,"  24,035.00 ",  24.04 ,"  12,650.00 ","  11,385.00 ",  11.39 ,7/3/2021,Jul,Q3,2021,Logan Garcia,VTT,USA
Government,CUST_ID_056,PROD_ID_004,Medium,"  2,297.00 ",  250.00 ,  20.00 ,"  45,940.00 ",2297,"  43,643.00 ",  43.64 ,"  22,970.00 ","  20,673.00 ",  20.67 ,7/31/2021,Jul,Q3,2021,Amelia Perez,VTT,Japan
Government,CUST_ID_047,PROD_ID_006,Medium,"  1,228.00 ",  260.00 ,  350.00 ,"  429,800.00 ",21490,"  408,310.00 ",  408.31 ,"  319,280.00 ","  89,030.00 ",  89.03 ,1/11/2022,Jan,Q1,2021,Michael Wilson,Amarilla,India
Channel Partners,CUST_ID_036,PROD_ID_005,Medium,"  2,299.00 ",  3.00 ,  12.00 ,"  27,588.00 ",1655.28,"  25,932.72 ",  25.93 ,"  6,897.00 ","  19,035.72 ",  19.04 ,1/1/2022,Jan,Q1,2021,Harper Anderson,Carretera,France
Government,CUST_ID_057,PROD_ID_005,Medium,  263.00 ,  3.00 ,  7.00 ,"  1,841.00 ",110.46,"  1,730.54 ",  1.73 ,"  1,315.00 ",  415.54 ,  0.42 ,4/15/2021,Apr,Q2,2021,Jackson Hill,Carretera,USA
Enterprise,CUST_ID_058,PROD_ID_005,Medium,  887.00 ,  3.00 ,  125.00 ,"  110,875.00 ",6652.5,"  104,222.50 ",  104.22 ,"  106,440.00 ","  -2,217.50 ",  -2.22 ,8/16/2022,Aug,Q3,2021,Abigail Phillips,Carretera,Canada
Government,CUST_ID_059,PROD_ID_001,Medium,"  1,403.00 ",  5.00 ,  7.00 ,"  9,821.00 ",589.26,"  9,231.74 ",  9.23 ,"  7,015.00 ","  2,216.74 ",  2.22 ,9/25/2022,Sep,Q3,2021,Aiden Martin,Montana,England
Channel Partners,CUST_ID_060,PROD_ID_002,Medium,"  2,299.00 ",  10.00 ,  12.00 ,"  27,588.00 ",1655.28,"  25,932.72 ",  25.93 ,"  6,897.00 ","  19,035.72 ",  19.04 ,4/25/2021,Apr,Q2,2021,Emily Garcia,Paseo,France
Government,CUST_ID_027,PROD_ID_002,Medium,  727.00 ,  10.00 ,  350.00 ,"  254,450.00 ",15267,"  239,183.00 ",  239.18 ,"  189,020.00 ","  50,163.00 ",  50.16 ,4/19/2022,Apr,Q2,2021,Michael Hill,Paseo,England
Small Business,CUST_ID_061,PROD_ID_003,Medium,"  1,221.00 ",  120.00 ,  300.00 ,"  366,300.00 ",21978,"  344,322.00 ",  344.32 ,"  305,250.00 ","  39,072.00 ",  39.07 ,5/25/2021,May,Q2,2021,Benjamin Martin,Velo,Germany
Government,CUST_ID_054,PROD_ID_003,Medium,"  2,076.00 ",  120.00 ,  350.00 ,"  726,600.00 ",43596,"  683,004.00 ",  683.00 ,"  539,760.00 ","  143,244.00 ",  143.24 ,9/24/2021,Sep,Q3,2021,Harper Wilson,Velo,Italy
Small Business,CUST_ID_062,PROD_ID_004,Medium,"  1,221.00 ",  250.00 ,  300.00 ,"  366,300.00 ",21978,"  344,322.00 ",  344.32 ,"  305,250.00 ","  39,072.00 ",  39.07 ,8/20/2021,Aug,Q3,2021,Mia Lewis,VTT,Italy
Government,CUST_ID_034,PROD_ID_004,Medium,"  1,123.00 ",  250.00 ,  20.00 ,"  22,460.00 ",1347.6,"  21,112.40 ",  21.11 ,"  11,230.00 ","  9,882.40 ",  9.88 ,7/25/2022,Jul,Q3,2021,Charlotte Davis,VTT,Canada
Small Business,CUST_ID_063,PROD_ID_004,Medium,"  2,436.00 ",  250.00 ,  300.00 ,"  730,800.00 ",43848,"  686,952.00 ",  686.95 ,"  609,000.00 ","  77,952.00 ",  77.95 ,3/5/2021,Mar,Q1,2021,Logan Clark,VTT,India
Government,CUST_ID_064,PROD_ID_006,Medium,  727.00 ,  260.00 ,  350.00 ,"  254,450.00 ",15267,"  239,183.00 ",  239.18 ,"  189,020.00 ","  50,163.00 ",  50.16 ,2/21/2022,Feb,Q1,2021,Charlotte Anderson,Amarilla,Japan
Government,CUST_ID_065,PROD_ID_006,Medium,"  1,403.00 ",  260.00 ,  7.00 ,"  9,821.00 ",589.26,"  9,231.74 ",  9.23 ,"  7,015.00 ","  2,216.74 ",  2.22 ,9/8/2021,Sep,Q3,2021,Samuel Wilson,Amarilla,USA
Government,CUST_ID_065,PROD_ID_006,Medium,"  2,076.00 ",  260.00 ,  350.00 ,"  726,600.00 ",43596,"  683,004.00 ",  683.00 ,"  539,760.00 ","  143,244.00 ",  143.24 ,8/21/2022,Aug,Q3,2021,Samuel Wilson,Amarilla,USA
Government,CUST_ID_059,PROD_ID_001,Medium,"  1,757.00 ",  5.00 ,  20.00 ,"  35,140.00 ",2108.4,"  33,031.60 ",  33.03 ,"  17,570.00 ","  15,461.60 ",  15.46 ,5/18/2022,May,Q2,2021,Aiden Martin,Montana,England
Government,CUST_ID_052,PROD_ID_002,Medium,"  1,757.00 ",  10.00 ,  20.00 ,"  35,140.00 ",2108.4,"  33,031.60 ",  33.03 ,"  17,570.00 ","  15,461.60 ",  15.46 ,8/29/2022,Aug,Q3,2021,Charlotte Martin,Paseo,France
Government,CUST_ID_066,PROD_ID_005,Medium,"  1,834.00 ",  3.00 ,  20.00 ,"  36,680.00 ",2567.6,"  34,112.40 ",  34.11 ,"  18,340.00 ","  15,772.40 ",  15.77 ,4/23/2022,Apr,Q2,2021,Harper Turner,Carretera,Canada
Government,CUST_ID_052,PROD_ID_002,Medium,"  1,031.00 ",  10.00 ,  7.00 ,"  7,217.00 ",505.19,"  6,711.81 ",  6.71 ,"  5,155.00 ","  1,556.81 ",  1.56 ,2/6/2022,Feb,Q1,2021,Charlotte Martin,Paseo,France
Channel Partners,CUST_ID_067,PROD_ID_004,Medium,"  2,215.00 ",  250.00 ,  12.00 ,"  26,580.00 ",1860.6,"  24,719.40 ",  24.72 ,"  6,645.00 ","  18,074.40 ",  18.07 ,1/2/2021,Jan,Q1,2021,Henry Phillips,VTT,England
Enterprise,CUST_ID_068,PROD_ID_001,Medium,"  2,500.00 ",  5.00 ,  125.00 ,"  312,500.00 ",21875,"  290,625.00 ",  290.63 ,"  300,000.00 ","  -9,375.00 ",  -9.38 ,3/13/2021,Mar,Q1,2021,Amelia Martin,Montana,France
Midmarket,CUST_ID_026,PROD_ID_002,Medium,"  2,931.00 ",  10.00 ,  15.00 ,"  43,965.00 ",3077.55,"  40,887.45 ",  40.89 ,"  29,310.00 ","  11,577.45 ",  11.58 ,9/12/2021,Sep,Q3,2021,Avery Turner,Paseo,Canada
Small Business,CUST_ID_069,PROD_ID_002,Medium,"  1,123.00 ",  10.00 ,  300.00 ,"  336,900.00 ",23583,"  313,317.00 ",  313.32 ,"  280,750.00 ","  32,567.00 ",  32.57 ,6/16/2021,Jun,Q2,2021,Jackson Hill,Paseo,Germany
Small Business,CUST_ID_070,PROD_ID_002,Medium,"  1,404.00 ",  10.00 ,  300.00 ,"  421,200.00 ",29484,"  391,716.00 ",  391.72 ,"  351,000.00 ","  40,716.00 ",  40.72 ,5/19/2022,May,Q2,2021,Abigail Garcia,Paseo,Italy
Channel Partners,CUST_ID_071,PROD_ID_002,Medium,"  2,763.00 ",  10.00 ,  12.00 ,"  33,156.00 ",2320.92,"  30,835.08 ",  30.84 ,"  8,289.00 ","  22,546.08 ",  22.55 ,4/7/2021,Apr,Q2,2021,Aiden Perez,Paseo,India
Government,CUST_ID_072,PROD_ID_002,Medium,"  2,125.00 ",  10.00 ,  7.00 ,"  14,875.00 ",1041.25,"  13,833.75 ",  13.83 ,"  10,625.00 ","  3,208.75 ",  3.21 ,6/14/2022,Jun,Q2,2021,Emily Hill,Paseo,Japan
Government,CUST_ID_041,PROD_ID_003,Medium,"  1,421.00 ",  120.00 ,  20.00 ,"  28,420.00 ",1989.4,"  26,430.60 ",  26.43 ,"  14,210.00 ","  12,220.60 ",  12.22 ,2/11/2022,Feb,Q1,2021,Aiden Clark,Velo,USA
Government,CUST_ID_028,PROD_ID_003,Medium,  588.00 ,  120.00 ,  20.00 ,"  11,760.00 ",823.2,"  10,936.80 ",  10.94 ,"  5,880.00 ","  5,056.80 ",  5.06 ,5/5/2022,May,Q2,2021,Sofia Phillips,Velo,France
Enterprise,CUST_ID_073,PROD_ID_006,Medium,  994.00 ,  260.00 ,  125.00 ,"  124,250.00 ",8697.5,"  115,552.50 ",  115.55 ,"  119,280.00 ","  -3,727.50 ",  -3.73 ,6/6/2022,Jun,Q2,2021,Benjamin Phillips,Amarilla,USA
Small Business,CUST_ID_074,PROD_ID_001,Medium,"  1,283.00 ",  5.00 ,  300.00 ,"  384,900.00 ",30792,"  354,108.00 ",  354.11 ,"  320,750.00 ","  33,358.00 ",  33.36 ,8/13/2021,Aug,Q3,2021,Mia Turner,Montana,Canada
